info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                  Category  OS       Publisher                                          
data:    --------------------------------------------------------------------------------------------------------------------  --------  -------  ---------------------------------------------------
data:    03f55de797f546a1b29d1b8d66be687a__Team-Foundation-Server-2013-Update4-WS2012R2                                        Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__Team-Foundation-Server-2013-Update4-WS2012R2-201503.20                              Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__Team-Foundation-Server-2013-Update4-WS2012R2-201503.27                              Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-2013-Comm-VSU5-AzureSDK-295-WS2012R22016-10-13                                   Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-2013-Prem-VSU5-AzureSDK-295-WS2012R22016-10-13                                   Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-2013-Ult-VSU5-AzureSDK-295-WS2012R22016-10-13                                    Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-2015-Comm-VSU3-AzureSDK-291-WS2012R22016-10-12                                   Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-2015-Ent-AzureSDK-29-WS2012R22016-10-11                                          Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-2015-Ent-VSU3-AzureSDK-291-WS2012R22016-10-24                                    Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-2017-RC1-Comm-WS2012R22016-11-16                                                 Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-2017-RC1-Ent-WS2012R22016-11-16                                                  Public    Windows  Microsoft Visual Studio Group                      
data:    03f55de797f546a1b29d1b8d66be687a__VS-Dev15-Preview5-Ent-AzureSDK-295-WS2012R22016-10-11                               Public    Windows  Microsoft Visual Studio Group                      
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.2-x64-v5.8.8.1                                                  Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8                                                    Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.5                                                  Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.6                                                  Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.7                                                  Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.8                                                  Public    Linux    RightScale with Linux                              
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.9                                                  Public    Linux    RightScale with Linux                              
